id,beneficiary-name,date,direction,amount,description,currency,mcc,kind,label
66229487,Faculty of contemporary arts,1/1/2021,d,187.20,Tuition,USD,8299.0,pmt,17
15122088,Glovo,1/1/2021,d,44.30,Food delivery,USD,5811.0,pmt,39
71233330,Glovo,1/1/2021,d,17.00,Food delivery,USD,5811.0,pmt,39
24419286,Claire Stevens,1/1/2021,c,300.10,Monthly rent,USD,,dep,64
31952674,Josh,1/1/2021,d,35.10,Allowance,USD,,pmt,67
76053069,Hertz,1/1/2021,d,11.60,Taxi,USD,7519.0,pmt,105
67251535,Book depository,1/2/2021,d,15.60,Amazon Kindle subscription,USD,,pmt,20
51023898,Table tenis club PingPong,1/2/2021,d,12.30,Daily pool ticket,USD,5655.0,pmt,50
19088602,Delhaize,1/3/2021,d,33.50,Supermaket shopping,USD,5499.0,pmt,38
46251212,Swimming school,1/3/2021,d,22.00,Membership,USD,,pmt,71
38450379,Blue moon spa,1/3/2021,d,22.50,Massage,USD,8050.0,pmt,82
40474619,Adobe,1/3/2021,d,20.10,Games,USD,5045.0,pmt,90
77280316,MetLife,1/4/2021,d,200.90,Life insurance premium,USD,6300.0,pmt,33
62511511,City parkings,1/5/2021,d,2.30,Parking fee,USD,7523.0,pmt,5
18709472,A1 Telecom,1/6/2021,d,6.90,Phone bill,USD,,pmt,9
56500502,National Geographic,1/6/2021,d,4.80,National Geographic,USD,5192.0,pmt,23
46134066,Revolut,1/6/2021,d,4.60,ATM withdrawal fee,USD,,fee,25
28670410,Wolt,1/6/2021,d,48.40,Food delivery,USD,5811.0,pmt,39
61393516,Dental Plus,1/6/2021,d,20.90,Doctor's appointment,USD,8011.0,pmt,44
31930196,Claire Stevens,1/6/2021,c,300.10,Monthly rent,USD,,dep,64
25661064,Swimming school,1/6/2021,d,27.10,Membership,USD,,pmt,71
55836439,Faculty of contemporary arts,1/7/2021,d,185.50,Tuition,USD,8299.0,pmt,17
16419247,Lidl,1/7/2021,d,33.10,Supermaket shopping,USD,5499.0,pmt,38
78624056,Lidl,1/7/2021,d,36.80,Supermaket shopping,USD,5499.0,pmt,38
70919477,Claire Stevens,1/7/2021,c,300.10,Monthly rent,USD,,dep,64
65912072,Raiffeisen Leasing,1/8/2021,d,450.50,Financial leasing,USD,7394.0,pmt,3
54545537,City parkings,1/8/2021,d,1.50,Parking fee,USD,7523.0,pmt,5
24839524,Pet salon Rex,1/8/2021,d,10.30,Grooming,USD,,pmt,85
50559764,A1 Telecom,1/9/2021,d,6.10,Phone bill,USD,,pmt,9
66797216,Book depository,1/9/2021,d,126.10,Books,USD,,pmt,15
74734869,Bank of America,1/9/2021,d,5.00,Revolut Silver subscription,USD,,fee,26
26744744,Lidl,1/9/2021,d,33.90,Supermaket shopping,USD,5499.0,pmt,38
38970077,Glovo,1/9/2021,d,31.30,Food delivery,USD,5811.0,pmt,39
25182041,Wolt,1/9/2021,d,24.50,Food delivery,USD,5811.0,pmt,39
17484730,Emmezeta,1/9/2021,d,41.90,Appliances,USD,5712.0,pmt,53
13743307,Heating,1/10/2021,d,63.00,Utilities payment,USD,,pmt,13
20670750,Revolut,1/10/2021,d,3.30,Revolut Silver subscription,USD,,fee,26
61550061,Delhaize,1/10/2021,d,40.70,Supermaket shopping,USD,5499.0,pmt,38
13793179,Lidl,1/10/2021,d,31.70,Supermaket shopping,USD,5499.0,pmt,38
54803074,Glovo,1/10/2021,d,47.10,Food delivery,USD,5811.0,pmt,39
62403764,Wolt,1/10/2021,d,20.20,Food delivery,USD,5811.0,pmt,39
73316470,Wolt,1/10/2021,d,21.60,Food delivery,USD,5811.0,pmt,39
45707636,Generali,1/10/2021,d,45.80,Extended health insurance,USD,,pmt,48
81379047,Lending Club,1/10/2021,d,33.20,Loan Payment,USD,,pmt,77
87991257,Glovo,1/11/2021,d,40.60,Food delivery,USD,5811.0,pmt,39
87031393,Lidl,1/11/2021,d,90.70,Supermaket shopping,USD,5200.0,pmt,56
56230289,Revolut,1/12/2021,d,3.50,ATM withdrawal fee,USD,,fee,25
14747494,Glovo,1/12/2021,d,18.80,Food delivery,USD,5811.0,pmt,39
66430374,Karate club,1/12/2021,d,24.40,Club membership,USD,,pmt,71
52979952,Revolut,1/13/2021,d,5.50,ATM withdrawal fee,USD,,fee,25
33062101,Lidl,1/13/2021,d,37.10,Supermaket shopping,USD,5499.0,pmt,38
35806343,Chase,1/13/2021,d,400.90,Rent pay,USD,,pmt,58
59160066,Office365,1/13/2021,d,18.20,TV,USD,5045.0,pmt,90
19306119,Fit and Fun,1/14/2021,d,24.40,Personal trainer,USD,,pmt,47
88450187,T-Mobile,1/15/2021,d,13.20,Mobile phone bill,USD,,pmt,11
81175550,New York Times,1/15/2021,d,3.10,National Geographic,USD,5192.0,pmt,23
62684206,Glovo,1/15/2021,d,48.90,Food delivery,USD,5811.0,pmt,39
85715522,Glovo,1/15/2021,d,26.80,Food delivery,USD,5811.0,pmt,39
59865534,Karate club,1/15/2021,d,22.20,Club membership,USD,,pmt,71
11405257,Shell,1/16/2021,d,45.40,Gasoline purchases,USD,5983.0,pmt,4
55328081,Bank of America,1/16/2021,d,4.40,ATM withdrawal fee,USD,,fee,25
25561285,Fit and Fun,1/16/2021,d,24.40,Gym membership,USD,,pmt,47
47317900,Best Western,1/16/2021,d,"1,542.10",Hotel,USD,7011.0,pmt,104
65798098,New York Times,1/17/2021,d,5.40,New York Times,USD,5192.0,pmt,23
63481773,Lidl,1/17/2021,d,32.90,Supermaket shopping,USD,5499.0,pmt,38
30284301,Wolt,1/17/2021,d,23.60,Food delivery,USD,5811.0,pmt,39
70632405,Glovo,1/17/2021,d,32.00,Food delivery,USD,5811.0,pmt,39
58200155,Asseco,1/17/2021,c,"2,382.40",Salary,USD,,sal,62
70926853,Travel house,1/17/2021,d,532.40,Vacation,USD,5962.0,pmt,106
18731176,,1/18/2021,d,204.10,ATM withdrawal,USD,,wdw,0
35345408,City parkings,1/18/2021,d,2.00,Parking fee,USD,7523.0,pmt,5
35262874,A1 Telecom,1/18/2021,d,6.10,Phone bill,USD,,pmt,9
82337135,Comcast,1/18/2021,d,18.60,Television bill,USD,,pmt,12
36000405,Wolt,1/18/2021,d,39.00,Food delivery,USD,5811.0,pmt,39
68207272,Wolt,1/18/2021,d,38.30,Food delivery,USD,5811.0,pmt,39
28813980,Glovo,1/18/2021,d,38.00,Food delivery,USD,5811.0,pmt,39
29176780,Glovo,1/18/2021,d,50.00,Food delivery,USD,5811.0,pmt,39
63897326,Fit and Fun,1/18/2021,d,27.30,Gym membership,USD,,pmt,47
81206808,Apple,1/19/2021,d,15.20,Spotify premium subscription,USD,5733.0,pmt,22
50289390,Bank of America,1/19/2021,d,7.90,Online banking fee,USD,,fee,26
69969043,Lidl,1/19/2021,d,34.40,Supermaket shopping,USD,5499.0,pmt,38
55106881,Delhaize,1/19/2021,d,30.30,Supermaket shopping,USD,5499.0,pmt,38
36526776,Red Cross,1/19/2021,d,98.80,Charity,USD,,pmt,41
62811505,Coinbase,1/19/2021,c,939.70,Project based fee,USD,,dep,59
29420070,Wolt,1/20/2021,d,43.70,Food delivery,USD,5811.0,pmt,39
55472439,Wolt,1/21/2021,d,19.30,Food delivery,USD,5811.0,pmt,39
23692934,Wolt,1/21/2021,d,27.40,Food delivery,USD,5811.0,pmt,39
78627884,Music school,1/22/2021,d,199.10,Tuition,USD,8299.0,pmt,17
48787348,Glovo,1/22/2021,d,36.30,Food delivery,USD,5811.0,pmt,39
36456188,Generali,1/22/2021,d,45.50,Extended health insurance,USD,,pmt,48
24415144,Wells Fargo,1/22/2021,d,64.10,Loan Payment,USD,,pmt,77
13921480,T-Mobile,1/23/2021,d,20.40,Mobile phone bill,USD,,pmt,11
37642221,Glovo,1/23/2021,d,47.00,Food delivery,USD,5811.0,pmt,39
27697612,Karate club,1/23/2021,d,29.90,Club membership,USD,,pmt,71
84895059,The barbers,1/23/2021,d,38.20,Haircut,USD,7230.0,pmt,80
77672113,Glovo,1/24/2021,d,35.90,Food delivery,USD,5811.0,pmt,39
63809308,Table tenis club PingPong,1/24/2021,d,13.40,Table tennis 2 hrs,USD,5655.0,pmt,50
81972960,Chase,1/24/2021,d,400.70,Rent pay,USD,,pmt,58
29322322,Chase,1/24/2021,d,400.40,Rent pay,USD,,pmt,58
45215367,Jill,1/24/2021,d,45.70,Allowance,USD,,pmt,67
40208406,Adobe,1/24/2021,d,16.60,Games,USD,5045.0,pmt,90
55541588,Shell,1/25/2021,d,41.90,Gasoline purchases,USD,5983.0,pmt,4
28506860,A1 Telecom,1/25/2021,d,12.40,Mobile phone bill,USD,,pmt,11
36154674,Revolut,1/25/2021,d,4.40,ATM withdrawal fee,USD,,fee,25
63826888,Glovo,1/25/2021,d,41.60,Food delivery,USD,5811.0,pmt,39
60866991,Karate club,1/25/2021,d,29.50,Membership,USD,,pmt,71
89589207,Residential Property,1/25/2021,d,170.30,Tax pay,USD,9311.0,pmt,96
32085229,Music school,1/26/2021,d,169.90,Tuition,USD,8299.0,pmt,17
46151174,Wolt,1/26/2021,d,38.80,Food delivery,USD,5811.0,pmt,39
32671432,Legend,1/26/2021,d,273.40,Fotwear,USD,,pmt,89
52778926,Faculty of contemporary arts,1/27/2021,d,163.40,Tuition,USD,8299.0,pmt,17
81496870,Glovo,1/27/2021,d,36.10,Food delivery,USD,5811.0,pmt,39
80802711,Wolt,1/27/2021,d,25.60,Food delivery,USD,5811.0,pmt,39
37785375,Pet store,1/27/2021,d,22.30,Shopping,USD,5995.0,pmt,84
31551099,Pet salon Rex,1/27/2021,d,10.70,Grooming,USD,,pmt,85
59714066,T-Mobile,1/28/2021,d,16.80,Mobile phone bill,USD,,pmt,11
16022872,Pet hotel Happy Dog,1/28/2021,d,100.80,Monthly stay,USD,5995.0,pmt,83
27849453,Tele9,2/2/2021,d,11.60,Television bill,USD,,pmt,12
34319628,Hulu,2/2/2021,d,10.00,Netflix subscription,USD,,pmt,21
75182589,Bank of America,2/2/2021,d,7.60,Online banking fee,USD,,fee,26
87320434,Delhaize,2/2/2021,d,34.80,Supermaket shopping,USD,5499.0,pmt,38
68514521,Wolt,2/2/2021,d,15.50,Food delivery,USD,5811.0,pmt,39
15372512,Fit and Fun,2/2/2021,d,29.50,Personal trainer,USD,,pmt,47
67356712,Coinbase,2/2/2021,c,928.60,Project based fee,USD,,dep,59
58361465,Hertz,2/2/2021,d,14.70,Car rent,USD,7519.0,pmt,105
27148066,Comcast,2/3/2021,d,11.30,Television bill,USD,,pmt,12
78649843,Glovo,2/3/2021,d,26.40,Food delivery,USD,5811.0,pmt,39
70889975,Glovo,2/3/2021,d,23.70,Food delivery,USD,5811.0,pmt,39
11329310,Wolt,2/3/2021,d,27.40,Food delivery,USD,5811.0,pmt,39
17927225,Wolt,2/4/2021,d,49.80,Food delivery,USD,5811.0,pmt,39
51803613,Glovo,2/4/2021,d,48.80,Food delivery,USD,5811.0,pmt,39
42572989,Wolt,2/4/2021,d,20.70,Food delivery,USD,5811.0,pmt,39
32955143,Tax company,2/4/2021,d,"2,315.00",Tax pay,USD,9311.0,pmt,98
66775618,Home cleaning service,2/5/2021,d,50.60,Cleaning,USD,,pmt,55
23629944,Claire Stevens,2/5/2021,c,300.80,Monthly rent,USD,,dep,64
84874402,Chevron,2/6/2021,d,71.30,Gasoline purchases,USD,5983.0,pmt,4
35409985,Orange,2/7/2021,d,26.10,Internet bill,USD,,pmt,10
46709053,Delhaize,2/7/2021,d,36.90,Supermaket shopping,USD,5499.0,pmt,38
52385743,Wolt,2/7/2021,d,30.30,Food delivery,USD,5811.0,pmt,39
31153688,Glovo,2/7/2021,d,33.30,Food delivery,USD,5811.0,pmt,39
87296165,Wolt,2/7/2021,d,32.90,Food delivery,USD,5811.0,pmt,39
69304214,Generali,2/7/2021,d,45.10,Extended health insurance,USD,,pmt,48
83001561,The barbers,2/7/2021,d,35.70,Haircut,USD,7230.0,pmt,80
56591253,Glovo,2/8/2021,d,41.50,Food delivery,USD,5811.0,pmt,39
34131085,Glovo,2/8/2021,d,41.70,Food delivery,USD,5811.0,pmt,39
13969038,Generali,2/8/2021,d,45.50,Extended health insurance,USD,,pmt,48
17498427,Spotify,2/9/2021,d,16.00,Apple music subscription,USD,5733.0,pmt,22
75932511,Wolt,2/9/2021,d,26.70,Food delivery,USD,5811.0,pmt,39
15200726,Wolt,2/10/2021,d,50.00,Food delivery,USD,5811.0,pmt,39
57169461,Glovo,2/10/2021,d,30.60,Food delivery,USD,5811.0,pmt,39
74901989,Chase,2/10/2021,d,400.60,Rent pay,USD,,pmt,58
13609418,Lidl,2/11/2021,d,40.70,Supermaket shopping,USD,5499.0,pmt,38
25728595,Lidl,2/11/2021,d,35.60,Supermaket shopping,USD,5499.0,pmt,38
81554231,Lidl,2/11/2021,d,37.30,Supermaket shopping,USD,5499.0,pmt,38
